X,Y,Z,Settlement_gravedad_mm,Settlement_carga_mm,Settlement_total_mm
0.0,0.0,0.0,129.53757246871325,145.79111826078295,275.3286907294962
0.0,0.0,-1.5,125.25184175723162,40.92515346300705,166.17699522023867
0.0,0.0,-3.0,115.30607664368486,13.180497970850697,128.48657461453556
0.0,0.0,-5.0,107.76605267957969,8.085422575990933,115.85147525557062
0.0,0.0,-7.0,96.74550836890192,5.984715590375444,102.73022395927735
0.0,0.0,-9.0,81.90165204791421,4.442834600245831,86.34448664816004
0.0,0.0,-11.0,62.5932333227054,3.0098770997946502,65.60311042250005
0.0,0.0,-13.0,39.52420113464781,1.6593691871143577,41.18357032176217
0.0,0.0,-14.75,29.30756391583133,1.1547635053464091,30.46232742117774
0.0,0.0,-16.5,19.03839357416681,0.7091325185050898,19.747526092671905
0.0,0.0,-18.25,9.036617472392695,0.3203741825791102,9.356991654971806
0.0,0.0,-20.0,0.0,0.0,0.0
