X,Y,Z,Settlement_gravedad_mm
0.0,0.0,-3.0,115.30607664368486
0.0,0.0,-13.0,39.52420113464781
0.0,4.5,-3.0,113.8601856091473
0.0,4.5,-13.0,41.17387172254954
4.5,0.0,-3.0,113.95056206200312
4.5,0.0,-13.0,41.173164403431876
4.5,4.5,-3.0,111.94054933833262
4.5,4.5,-13.0,42.673323022373275
0.0,0.0,-20.0,0.0
0.0,4.5,-20.0,0.0
4.5,0.0,-20.0,0.0
4.5,4.5,-20.0,0.0
4.0,3.75,-1.2000000000000002,122.33080396507552
4.0,3.75,-1.6,122.33024646107862
4.0,4.5,-1.2000000000000002,120.94784947938447
4.0,4.5,-1.6,120.94761823660473
4.5,3.75,-1.2000000000000002,121.20558171186589
4.5,3.75,-1.6,121.20565857371368
4.5,4.5,-1.2000000000000002,119.82219793043215
4.5,4.5,-1.6,119.82198963697888
0.0,0.0,0.0,129.53757246871325
0.0,4.5,0.0,127.96304630150362
4.5,0.0,0.0,128.11972890576436
4.0,4.5,0.0,125.47060513877048
4.5,3.75,0.0,125.8096042724998
4.0,3.75,0.0,126.54843531334947
0.0,0.0,-11.0,62.5932333227054
0.0,0.0,-9.0,81.90165204791421
0.0,0.0,-7.0,96.74550836890191
0.0,0.0,-5.0,107.76605267957969
0.0,1.5,-3.0,114.94386918632266
0.0,3.0,-3.0,114.3231906507603
0.0,4.5,-11.0,62.77261562746221
0.0,4.5,-9.0,80.98759184979988
0.0,4.5,-7.0,94.99697743109681
0.0,4.5,-5.0,106.15203075182438
0.0,1.5,-13.0,39.79362976600494
0.0,3.0,-13.0,40.143762983223496
4.5,0.0,-11.0,62.77782309552825
4.5,0.0,-9.0,81.15433670217506
4.5,0.0,-7.0,95.04993313524605
4.5,0.0,-5.0,106.0758167107864
4.5,1.6046804001522632,-3.0,113.45619632250123
4.5,3.181799933085046,-3.0,112.55119946284066
4.5,4.5,-11.313645567643713,60.03973158854776
4.5,4.5,-9.627291135287425,74.96473301459764
4.5,4.5,-7.940936702931138,87.49078478980229
4.5,4.5,-6.254582270574851,97.80072186147838
4.5,4.5,-4.568227838218563,106.08281104833675
4.5,1.5,-13.0,41.43851076135404
4.5,3.0,-13.0,41.74417848224441
1.5,0.0,-13.0,40.62925749659577
3.0,0.0,-13.0,40.09411597644593
1.5,0.0,-3.0,114.9365845732022
3.0,0.0,-3.0,114.26379753307114
1.5,4.5,-13.0,42.50206862438259
3.0,4.5,-13.0,41.82011923170319
1.584723540116541,4.5,-3.0,113.51143864518843
3.1598296282802,4.5,-3.0,112.75380839990625
0.0,0.0,-18.25,9.036617472392695
0.0,0.0,-16.5,19.038393574166815
0.0,0.0,-14.75,29.30756391583133
0.0,4.5,-18.25,10.887571557004769
0.0,4.5,-16.5,20.69399213078135
0.0,4.5,-14.75,30.910823960434513
0.0,1.5,-20.0,0.0
0.0,3.0,-20.0,0.0
4.5,0.0,-18.25,10.973067891837164
4.5,0.0,-16.5,20.69223226855636
4.5,0.0,-14.75,30.817493682942175
4.5,4.5,-18.25,12.773721442100786
4.5,4.5,-16.5,22.38840824124416
4.5,4.5,-14.75,32.40335263901058
4.5,1.5,-20.0,0.0
4.5,3.0,-20.0,0.0
1.5,0.0,-20.0,0.0
3.0,0.0,-20.0,0.0
1.5,4.5,-20.0,0.0
3.0,4.5,-20.0,0.0
4.0,3.75,-1.4000000000000006,122.33069258713273
4.0,4.0,-1.2000000000000002,121.87014407907765
4.0,4.25,-1.2000000000000002,121.40920840836014
4.0,4.5,-1.4000000000000006,120.94781068407875
4.0,4.0,-1.6,121.8697049166153
4.0,4.25,-1.6,121.40920336954048
4.5,3.75,-1.4000000000000006,121.20555158248317
4.5,4.0,-1.2000000000000002,120.74460594702278
4.5,4.25,-1.2000000000000002,120.2834761320805
4.5,4.5,-1.4000000000000006,119.82214428452625
4.5,4.0,-1.6,120.74436682013342
4.5,4.25,-1.6,120.28328365919992
4.25,3.75,-1.6,121.76794497679795
4.25,3.75,-1.2000000000000002,121.76829244122858
4.25,4.5,-1.6,120.38474366799674
4.25,4.5,-1.2000000000000002,120.38502709204681
0.0,0.0,-1.5,125.25184175723162
0.0,1.5,0.0,129.0390295715913
0.0,3.0,0.0,129.04845998302883
0.0,4.5,-1.5,124.09564876262719
4.5,0.0,-1.5,123.97706896599398
1.5,0.0,0.0,129.959479292043
3.0,0.0,0.0,128.94292755254932
1.4454051294351817,4.5,0.0,127.63139537560211
2.854943045213809,4.5,0.0,126.90895738815405
4.5,1.3566387154160202,0.0,127.55825171236071
4.5,2.673961163281544,0.0,126.99903926664075
4.5,4.5,-2.388633289041375,116.65248583007322
4.5,4.5,-1.9356983878079541,118.78136170989882
4.0,4.5,-1.3021165911712198,122.5159647727621
4.0,4.5,-0.9867085156116657,123.74830228897288
4.0,4.5,-0.5680869721235369,124.810011271002
4.5,3.75,-1.3021165911712198,122.83625710792865
4.5,3.75,-0.9867085156116657,124.01552901216705
4.5,3.75,-0.5680869721235369,125.07625908118136
4.0,3.75,-1.3021165911712198,123.68039601210305
4.0,3.75,-0.9867085156116657,124.8546525819553
4.0,3.75,-0.5680869721235369,125.9789283135866
0.0,2.322023904108364,-11.64919880691417,58.22319583598055
0.0,2.322023904108364,-4.350801193085832,110.2481438411459
0.0,1.327949058080303,-8.0,89.3639182803221
0.0,1.5653200825826594,-9.949885543844882,74.0813310572636
0.0,1.5653200825826594,-6.05011445615512,102.72333346475843
0.0,3.322334757386339,-10.266514058459842,70.2729197870106
0.0,3.322334757386339,-5.733485941540159,103.72522167408837
0.0,3.0799449391597546,-8.0,89.53219624065947
0.0,1.0774687973382047,-4.28018312984819,110.75145334358436
0.0,1.0774687973382047,-11.71981687015181,55.03829751805868
0.0,3.5288717322989407,-4.216857426925198,110.12782588890693
0.0,3.5288717322989407,-11.783142573074802,54.20316287682927
4.5,2.3932401666186545,-4.2537101627715685,108.7577514190659
4.5,2.25,-11.700961894323342,58.679570815714655
4.5,3.0464677256561767,-8.846232063228044,82.4861044159738
4.5,1.6135072108843125,-5.845221019555483,101.71376727256951
4.5,3.0757044623921885,-7.039885635602893,94.57584341144806
4.5,1.5342818410841952,-10.136942715992586,72.26137898326415
4.5,1.4969866155182456,-7.940936702931137,88.97730996414536
4.5,3.2116621144345645,-10.584243731033524,67.27139324523331
4.5,3.27296941006669,-5.359778318409632,103.25607066580659
4.5,1.122285555531046,-4.21978623646541,109.46149706873787
4.5,1.056856368216839,-11.767580922063186,55.36335612759643
4.5,3.4970546711584873,-4.073138817365461,108.6980201290929
4.5,3.4392231198670187,-11.88038900972603,54.200309092786725
2.322023904108364,0.0,-4.350801193085832,110.2069846148101
2.322023904108364,0.0,-11.64919880691417,58.15874131013435
1.327949058080303,0.0,-8.0,89.91533741201232
1.5653200825826594,0.0,-9.949885543844882,73.96087544502063
1.5653200825826594,0.0,-6.05011445615512,102.47915105844235
3.322334757386339,0.0,-10.266514058459842,70.37788035741883
3.322334757386339,0.0,-5.733485941540159,103.67753588562032
3.0799449391597546,0.0,-8.0,89.5804406037178
1.0774687973382047,0.0,-4.28018312984819,110.91489793919108
1.0774687973382047,0.0,-11.71981687015181,54.66400696974813
3.5288717322989407,0.0,-4.216857426925198,110.0236634474349
3.5288717322989407,0.0,-11.783142573074802,54.27602047526957
2.364690406477663,4.5,-4.28307174551313,108.784120992248
2.25,4.5,-11.700961894323342,58.252481632717966
3.0464648891477695,4.5,-8.846232063228044,81.95431515612955
1.6069463548560723,4.5,-5.848691777953468,101.73035760831785
3.073886689612161,4.5,-7.040464095335892,94.58479071872333
1.5342790045757884,4.5,-10.136942715992586,71.93706378185473
1.4969695964678056,4.5,-7.94093670293114,88.8277658162264
3.2116611689317627,4.5,-10.584243731033524,67.38037627711884
3.2658344104495822,4.5,-5.36449593104164,103.42845675405707
1.1112720602900552,4.5,-4.226352704693321,109.53787583992393
1.0568558009151576,4.5,-11.767580922063186,55.15106311433335
3.4844312835474223,4.5,-4.079355962601772,108.9601898190221
3.4392231198670187,4.5,-11.88038900972603,53.773157298711155
1.3283626783343268,2.25,-13.0,53.07050909779711
3.1727278112183024,2.25,-13.0,53.42202395034537
2.250181748258771,1.1134796322775282,-13.0,50.890096811870045
2.2501817482587714,3.386520367722472,-13.0,50.847328977779014
3.4095611031674156,1.0904388968325849,-13.0,40.18901061856637
1.0904388968325849,1.0904388968325849,-13.0,39.87755128697796
1.0904388968325849,3.4095611031674147,-13.0,40.28069487807278
3.4095611031674147,3.4095611031674147,-13.0,40.73567682742697
3.1792188485083157,2.353744638538835,-3.0,113.83080683776893
1.3914608509880675,2.272977688127035,-3.0,114.76968359633551
2.25546672148156,1.177510535767561,-3.0,114.80167244646904
2.3126538135804715,3.4170935192034806,-3.0,113.70349157687374
1.0904388968325849,1.0904388968325849,-3.0,115.2547001482936
3.486937113997975,1.0271871148917318,-3.0,114.25275182606168
1.107075314249148,3.417510692084806,-3.0,114.45559866605959
3.453614699340558,3.4583280964702072,-3.0,113.15622956793966
0.0,2.2689827306972643,-14.269619251742709,31.34616410886424
0.0,2.2243420667431186,-18.7226462046944,6.3178045301962
0.0,1.287424598168696,-17.54964439283749,13.109817740754742
0.0,2.9400088140601794,-17.322126907015967,14.92224872024586
0.0,1.4541184256245459,-15.735970337871999,23.4665118504679
0.0,3.186251436617974,-15.4510148471538,25.924277768441808
0.0,1.0456013506741444,-14.128372586292123,32.86881969577753
0.0,3.4328701761606597,-18.858954622342075,5.9163043849759696
0.0,1.0456013506741444,-18.871627413707877,5.575710468166888
0.0,3.454398649325856,-14.128372586292123,33.691667763760144
4.5,2.2243420667431186,-18.7226462046944,7.862962301747488
4.5,2.2689827306972643,-14.269619251742709,32.89624780487136
4.5,1.287424598168696,-17.54964439283749,14.731635435826634
4.5,2.9400088140601794,-17.322126907015967,16.554886707767423
4.5,1.4541184256245459,-15.735970337871999,25.13247514736992
4.5,3.186251436617974,-15.4510148471538,27.444842465541754
4.5,1.0456013506741444,-14.128372586292123,34.43281568782718
4.5,3.4328701761606597,-18.858954622342075,7.25886447277105
4.5,1.0456013506741444,-18.871627413707877,7.155613417002873
4.5,3.454398649325856,-14.128372586292123,35.28083895925781
2.224342066743118,0.0,-18.7226462046944,6.34296084236011
2.2689827306972643,0.0,-14.269619251742707,31.308048375465454
1.287424598168696,0.0,-17.54964439283749,12.956044110979194
2.9400088140601794,0.0,-17.322126907015967,15.007298316471665
1.454118425624547,0.0,-15.735970337871999,23.517700564144334
3.186251436617974,0.0,-15.4510148471538,25.909037737363676
1.0456013506741444,0.0,-18.871627413707877,5.534436878982392
3.454398649325856,0.0,-14.128372586292123,33.583350836878736
1.0456013506741442,0.0,-14.128372586292123,32.89144174038363
3.4328701761606597,0.0,-18.858954622342075,6.1476863484103434
2.224342066743118,4.5,-18.7226462046944,8.288845791892058
2.2689827306972643,4.5,-14.269619251742707,33.14035009131802
1.287424598168696,4.5,-17.54964439283749,14.711050958513308
2.9400088140601794,4.5,-17.322126907015967,16.64660293135711
1.454118425624547,4.5,-15.735970337871999,25.16703043783319
3.186251436617974,4.5,-15.4510148471538,27.569415555448053
1.0456013506741444,4.5,-18.871627413707877,6.883675457036779
3.454398649325856,4.5,-14.128372586292123,35.332798526100916
1.0456013506741442,4.5,-14.128372586292123,34.6192746552433
3.4328701761606597,4.5,-18.858954622342075,7.407273388249653
1.3283626783343268,2.25,-20.0,0.0
3.1727278112183024,2.25,-20.0,0.0
2.250181748258771,1.1134796322775282,-20.0,0.0
2.2501817482587714,3.386520367722472,-20.0,0.0
3.4095611031674156,1.0904388968325849,-20.0,0.0
1.0904388968325849,1.0904388968325849,-20.0,0.0
1.0904388968325849,3.4095611031674147,-20.0,0.0
3.4095611031674147,3.4095611031674147,-20.0,0.0
3.1716373216656732,2.25,-13.0,34.97458335765735
1.3272721887816974,2.25,-13.0,34.699190446388954
2.249818251741228,1.1134796322775282,-13.0,35.41684774727251
2.2498182517412286,3.386520367722472,-13.0,36.00176491241151
4.0,4.125,-1.4000000000000001,121.63968724277517
4.0,3.9375,-1.3781250000000003,121.98529528340678
4.0,4.3125,-1.421875,121.29390946412222
4.5,4.125,-1.4000000000000001,120.51405695018819
4.5,3.9375,-1.3781250000000003,120.85985904815972
4.5,4.3125,-1.421875,120.16814441647259
4.359281593406593,3.75,-1.3308980082417585,121.52236661341664
4.1987499999999995,3.75,-1.3921875000000001,121.88356371057289
4.361606318681319,3.75,-1.4646171016483518,121.51714658918918
4.359281593406593,4.5,-1.3308980082417585,120.13899135329893
4.1987499999999995,4.5,-1.3921875000000001,120.5003698223992
4.361606318681319,4.5,-1.4646171016483518,120.13372007363411
4.2263943535352295,4.125,-1.6,121.13008850243891
4.317992001007617,3.914362916539756,-1.6,121.31225961571384
4.317992001007617,4.335637083460243,-1.6,120.53526662258676
4.148428828658588,3.897916232943987,-1.6,121.72406949862804
4.148428828658588,4.352083767056013,-1.6,120.8866325284529
4.2263943535352295,4.125,-1.2000000000000002,121.1301194860932
4.317992001007617,3.914362916539756,-1.2000000000000002,121.31230899438387
4.317992001007617,4.335637083460243,-1.2000000000000002,120.5352562997886
4.148428828658588,3.897916232943987,-1.2000000000000002,121.72423947670822
4.148428828658588,4.352083767056013,-1.2000000000000002,120.88666632263256
0.0,2.25,-1.3583661212113785,126.16685020803803
0.0,0.986177499238537,-1.9079520060457018,123.03118204467101
0.0,3.513822500761463,-1.9079520060457018,122.31633965932998
0.0,0.8874973976639225,-0.8905729719515287,127.67149798211818
0.0,3.612502602336078,-0.8905729719515287,126.80095635103231
2.25,0.0,-1.6416338787886215,124.96196698588462
0.9861774992385373,0.0,-1.092047993954298,127.20226500294244
3.513822500761463,0.0,-1.0920479939542982,126.697939558955
0.8874973976639227,0.0,-2.1094270280484713,121.85823121935051
3.612502602336077,0.0,-2.1094270280484713,121.04462322775133
1.3283726494316854,2.33382654987905,0.0,129.8359520841648
3.530043522315829,1.9886260754059573,0.0,129.11116213354455
2.0845507404694077,3.5086658291457447,0.0,128.88847169568922
3.0728422850094,3.5835724334912715,0.0,127.92158196141254
