X,Y,Z,Settlement_carga_mm
0.0,0.0,-3.0,13.180497970850695
0.0,0.0,-13.0,1.6593691871143577
0.0,4.5,-3.0,7.993516135314351
0.0,4.5,-13.0,1.8258202586141365
4.5,0.0,-3.0,7.827780758950823
4.5,0.0,-13.0,1.8248397957447082
4.5,4.5,-3.0,6.755916001175038
4.5,4.5,-13.0,1.9794209768649011
0.0,0.0,-20.0,0.0
0.0,4.5,-20.0,0.0
4.5,0.0,-20.0,0.0
4.5,4.5,-20.0,0.0
4.0,3.75,-1.2000000000000002,6.942237027841486
4.0,3.75,-1.6,6.94232778820043
4.0,4.5,-1.2000000000000002,6.82823637720881
4.0,4.5,-1.6,6.828176781053145
4.5,3.75,-1.2000000000000002,6.865911768541494
4.5,3.75,-1.6,6.865839960075775
4.5,4.5,-1.2000000000000002,6.752104965456624
4.5,4.5,-1.6,6.75212981962116
0.0,0.0,0.0,145.79111826078295
0.0,4.5,0.0,8.124872018741655
4.5,0.0,0.0,7.137529884202877
4.0,4.5,0.0,6.2450867419474605
4.5,3.75,0.0,6.144516935092355
4.0,3.75,0.0,6.701335697212841
0.0,0.0,-11.0,3.0098770997946502
0.0,0.0,-9.0,4.442834600245831
0.0,0.0,-7.0,5.984715590375444
0.0,0.0,-5.0,8.085422575990933
0.0,1.5,-3.0,11.210492952490014
0.0,3.0,-3.0,8.328603094512175
0.0,4.5,-11.0,3.1395852723694517
0.0,4.5,-9.0,4.412324892672544
0.0,4.5,-7.0,5.74235352823824
0.0,4.5,-5.0,6.977369380403914
0.0,1.5,-13.0,1.6875834625300428
0.0,3.0,-13.0,1.733022576719975
4.5,0.0,-11.0,3.1395110047136257
4.5,0.0,-9.0,4.417962411808034
4.5,0.0,-7.0,5.725894702969271
4.5,0.0,-5.0,6.901258633092837
4.5,1.6046804001522632,-3.0,7.359529632163415
4.5,3.181799933085046,-3.0,6.892248475639121
4.5,4.5,-11.313645567643713,3.049914504126356
4.5,4.5,-9.627291135287425,4.060402404718161
4.5,4.5,-7.940936702931138,5.013182470073005
4.5,4.5,-6.254582270574851,5.854800399585926
4.5,4.5,-4.568227838218563,6.458985857004166
4.5,1.5,-13.0,1.8444716409987336
4.5,3.0,-13.0,1.8865967109354216
1.5,0.0,-13.0,1.7346150056067913
3.0,0.0,-13.0,1.7305224833733774
1.5,0.0,-3.0,10.59528929742234
3.0,0.0,-3.0,8.415686076157286
1.5,4.5,-13.0,1.9056154144751716
3.0,4.5,-13.0,1.8981648603789836
1.584723540116541,4.5,-3.0,7.474943305442039
3.1598296282802,4.5,-3.0,6.905342708086522
0.0,0.0,-18.25,0.3203741825791102
0.0,0.0,-16.5,0.7091325185050898
0.0,0.0,-14.75,1.1547635053464091
0.0,4.5,-18.25,0.414262405609751
0.0,4.5,-16.5,0.816814662724827
0.0,4.5,-14.75,1.2936839506390996
0.0,1.5,-20.0,0.0
0.0,3.0,-20.0,0.0
4.5,0.0,-18.25,0.4185884162117084
4.5,0.0,-16.5,0.8162259416277813
4.5,0.0,-14.75,1.2867404828403473
4.5,4.5,-18.25,0.5080356037045863
4.5,4.5,-16.5,0.9334790454590838
4.5,4.5,-14.75,1.4230847520172887
4.5,1.5,-20.0,0.0
4.5,3.0,-20.0,0.0
1.5,0.0,-20.0,0.0
3.0,0.0,-20.0,0.0
1.5,4.5,-20.0,0.0
3.0,4.5,-20.0,0.0
4.0,3.75,-1.4000000000000006,6.942248369766688
4.0,4.0,-1.2000000000000002,6.90423772947122
4.0,4.25,-1.2000000000000002,6.8662285936691205
4.0,4.5,-1.4000000000000006,6.82822733244025
4.0,4.0,-1.6,6.904249896397502
4.0,4.25,-1.6,6.866226424380017
4.5,3.75,-1.4000000000000006,6.865897752707923
4.5,4.0,-1.2000000000000002,6.827997588243676
4.5,4.25,-1.2000000000000002,6.7900573845729895
4.5,4.5,-1.4000000000000006,6.752110088103763
4.5,4.0,-1.6,6.828007755674662
