X,Y,Z,Settlement_mm
0.0,0.0,0.0,26.406299354268008
1.5,0.0,0.0,17.503107295000444
3.0,0.0,0.0,7.269932545383643
4.5,0.0,0.0,5.13626967012383
6.0,0.0,0.0,3.932078922454024
7.5,0.0,0.0,3.25273703991427
9.0,0.0,0.0,2.7053548374964107
0.0,1.5,0.0,17.503107295000447
1.5,1.5,0.0,12.8726486563159
3.0,1.5,0.0,6.929567814144961
4.5,1.5,0.0,4.921825557102924
6.0,1.5,0.0,3.8451793971607438
7.5,1.5,0.0,3.197086487694321
9.0,1.5,0.0,2.671501454305718
0.0,3.0,0.0,7.269932545383656
1.5,3.0,0.0,6.929567814144962
3.0,3.0,0.0,5.747756883821794
4.5,3.0,0.0,4.413629870635211
6.0,3.0,0.0,3.600708019920712
7.5,3.0,0.0,3.04430950851734
9.0,3.0,0.0,2.5748570723469224
0.0,4.5,0.0,5.136269670123827
1.5,4.5,0.0,4.921825557102927
3.0,4.5,0.0,4.41362987063521
4.5,4.5,0.0,3.8112450047251083
6.0,4.5,0.0,3.263064842114038
7.5,4.5,0.0,2.8256209367806537
9.0,4.5,0.0,2.428987190531079
0.0,6.0,0.0,3.9320789224540214
1.5,6.0,0.0,3.8451793971607446
3.0,6.0,0.0,3.6007080199207073
4.5,6.0,0.0,3.263064842114038
6.0,6.0,0.0,2.9091416927783156
7.5,6.0,0.0,2.5737719493065034
9.0,6.0,0.0,2.247901152239949
0.0,7.5,0.0,3.2527370399142717
1.5,7.5,0.0,3.1970864876943117
3.0,7.5,0.0,3.0443095085173413
4.5,7.5,0.0,2.825620936780653
6.0,7.5,0.0,2.5737719493065065
7.5,7.5,0.0,2.3092187306758523
9.0,7.5,0.0,2.0354157617644373
0.0,9.0,0.0,2.705354837496399
1.5,9.0,0.0,2.6715014543057154
3.0,9.0,0.0,2.574857072346914
4.5,9.0,0.0,2.4289871905310783
6.0,9.0,0.0,2.247901152239948
7.5,9.0,0.0,2.035415761764438
9.0,9.0,0.0,1.78854140197955
0.0,0.0,-1.5384615384615385,16.073671099503738
