# Desplazamientos de nodos
# node,x,y,z,ux,uy,uz,u_total
1,4.000000,3.750000,-1.500000,6.931236e-03,6.707038e-03,-1.257837e-01,1.261530e-01
2,4.000000,3.750000,-1.900000,7.540856e-03,7.226096e-03,-1.249781e-01,1.254137e-01
3,4.000000,4.500000,-1.500000,6.964868e-03,6.982263e-03,-1.244095e-01,1.247997e-01
4,4.000000,4.500000,-1.900000,7.563226e-03,7.616920e-03,-1.241131e-01,1.245764e-01
5,4.500000,3.750000,-1.500000,7.112941e-03,6.878183e-03,-1.247337e-01,1.251256e-01
6,4.500000,3.750000,-1.900000,7.756779e-03,7.451586e-03,-1.244729e-01,1.249368e-01
7,4.500000,4.500000,-1.500000,7.013762e-03,6.926249e-03,-1.235714e-01,1.239639e-01
8,4.500000,4.500000,-1.900000,7.632864e-03,7.544471e-03,-1.234641e-01,1.239297e-01
9,0.000000,0.000000,-3.000000,0.000000e+00,1.834796e-05,-1.190165e-01,1.190165e-01
10,0.000000,0.000000,0.000000,0.000000e+00,-8.221044e-04,-1.429509e-01,1.429533e-01
11,0.000000,4.500000,0.000000,0.000000e+00,2.951803e-03,-1.315859e-01,1.316190e-01
12,0.000000,4.500000,-3.000000,0.000000e+00,7.242627e-03,-1.164789e-01,1.167039e-01
13,4.500000,0.000000,-3.000000,7.201428e-03,0.000000e+00,-1.166848e-01,1.169068e-01
14,4.500000,0.000000,0.000000,3.906055e-03,0.000000e+00,-1.326579e-01,1.327154e-01
15,4.500000,4.500000,0.000000,2.742158e-03,2.840925e-03,-1.263383e-01,1.264000e-01
16,4.500000,4.500000,-3.000000,6.828612e-03,6.937506e-03,-1.150969e-01,1.155078e-01
17,0.000000,0.000000,-13.000000,0.000000e+00,1.959473e-04,-3.974285e-02,3.974333e-02
18,0.000000,4.500000,-13.000000,0.000000e+00,9.785203e-03,-4.141624e-02,4.255649e-02
19,4.500000,0.000000,-13.000000,9.728103e-03,0.000000e+00,-4.133963e-02,4.246883e-02
20,4.500000,4.500000,-13.000000,9.734460e-03,9.723017e-03,-4.310964e-02,4.525194e-02
21,0.000000,0.000000,-20.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
22,0.000000,4.500000,-20.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
23,4.500000,0.000000,-20.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
24,4.500000,4.500000,-20.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
25,4.000000,3.750000,-1.700000,7.328390e-03,7.025030e-03,-1.253591e-01,1.257695e-01
26,4.000000,4.000000,-1.500000,6.902479e-03,6.845551e-03,-1.252595e-01,1.256362e-01
27,4.000000,4.250000,-1.500000,6.919427e-03,6.917022e-03,-1.247939e-01,1.251768e-01
28,4.000000,4.500000,-1.700000,7.299743e-03,7.275108e-03,-1.242677e-01,1.246943e-01
29,4.000000,4.000000,-1.900000,7.506459e-03,7.399601e-03,-1.248188e-01,1.252630e-01
30,4.000000,4.250000,-1.900000,7.518254e-03,7.536504e-03,-1.245076e-01,1.249619e-01
31,4.500000,3.750000,-1.700000,7.418413e-03,7.194576e-03,-1.246001e-01,1.250279e-01
32,4.500000,4.000000,-1.500000,7.018236e-03,6.902600e-03,-1.243223e-01,1.247114e-01
33,4.500000,4.250000,-1.500000,7.000063e-03,6.911296e-03,-1.239521e-01,1.243418e-01
34,4.500000,4.500000,-1.700000,7.316031e-03,7.221972e-03,-1.235206e-01,1.239477e-01
35,4.500000,4.000000,-1.900000,7.652305e-03,7.476988e-03,-1.241943e-01,1.246542e-01
36,4.500000,4.250000,-1.900000,7.622028e-03,7.509627e-03,-1.238477e-01,1.243090e-01
37,4.250000,3.750000,-1.900000,7.681951e-03,7.340990e-03,-1.248058e-01,1.252573e-01
38,4.250000,3.750000,-1.500000,7.044734e-03,6.785846e-03,-1.251732e-01,1.255548e-01
39,4.250000,4.500000,-1.900000,7.595771e-03,7.558574e-03,-1.238332e-01,1.242959e-01
40,4.250000,4.500000,-1.500000,6.991504e-03,6.932983e-03,-1.239579e-01,1.243484e-01
41,0.000000,0.000000,-1.500000,0.000000e+00,-1.983880e-03,-1.340867e-01,1.341014e-01
42,0.000000,1.567640,0.000000,0.000000e+00,9.906477e-04,-1.436432e-01,1.436466e-01
43,0.000000,3.090587,0.000000,0.000000e+00,2.573769e-03,-1.359667e-01,1.359910e-01
44,0.000000,4.500000,-1.515044,0.000000e+00,8.641875e-03,-1.272911e-01,1.275841e-01
45,0.000000,1.601659,-3.000000,0.000000e+00,2.646749e-03,-1.183555e-01,1.183851e-01
46,0.000000,3.115168,-3.000000,0.000000e+00,5.183243e-03,-1.171061e-01,1.172208e-01
47,1.628184,0.000000,-3.000000,2.740960e-03,0.000000e+00,-1.182970e-01,1.183287e-01
48,3.138382,0.000000,-3.000000,5.151782e-03,0.000000e+00,-1.172550e-01,1.173681e-01
49,4.500000,0.000000,-1.516134,9.393359e-03,0.000000e+00,-1.284862e-01,1.288292e-01
50,1.590428,0.000000,0.000000,1.971118e-03,0.000000e+00,-1.398887e-01,1.399026e-01
51,3.113614,0.000000,0.000000,3.445073e-03,0.000000e+00,-1.368205e-01,1.368639e-01
52,1.154802,4.500000,0.000000,1.421291e-03,2.613950e-03,-1.311829e-01,1.312166e-01
53,2.008105,4.500000,0.000000,2.133771e-03,2.395800e-03,-1.307349e-01,1.307743e-01
54,2.638626,4.500000,0.000000,2.492162e-03,2.399365e-03,-1.300623e-01,1.301083e-01
55,3.104633,4.500000,0.000000,2.623786e-03,2.623135e-03,-1.295919e-01,1.296450e-01
56,3.467198,4.500000,0.000000,2.717388e-03,2.654268e-03,-1.289480e-01,1.290040e-01
57,3.814290,4.500000,0.000000,2.721907e-03,2.712499e-03,-1.282375e-01,1.282951e-01
58,4.157556,4.500000,0.000000,2.719051e-03,2.791596e-03,-1.273951e-01,1.274547e-01
59,4.500000,1.155103,0.000000,3.474825e-03,1.584746e-03,-1.322906e-01,1.323458e-01
60,4.500000,1.997535,0.000000,2.980518e-03,2.098142e-03,-1.315180e-01,1.315685e-01
61,4.500000,2.611932,0.000000,2.750795e-03,2.424377e-03,-1.306636e-01,1.307150e-01
62,4.500000,3.060234,0.000000,2.755374e-03,2.573778e-03,-1.299104e-01,1.299651e-01
63,4.500000,3.427176,0.000000,2.730905e-03,2.677933e-03,-1.292101e-01,1.292666e-01
64,4.500000,3.786902,0.000000,2.750797e-03,2.746954e-03,-1.283816e-01,1.284404e-01
65,4.500000,4.143362,0.000000,2.763136e-03,2.800184e-03,-1.274265e-01,1.274872e-01
66,1.048261,4.500000,-3.000000,1.608726e-03,7.230407e-03,-1.163086e-01,1.165442e-01
67,1.818188,4.500000,-3.000000,2.847528e-03,7.091617e-03,-1.160333e-01,1.162847e-01
68,2.383684,4.500000,-3.000000,3.691888e-03,7.014923e-03,-1.157602e-01,1.160313e-01
69,2.799212,4.500000,-3.000000,4.313043e-03,6.986399e-03,-1.155542e-01,1.158456e-01
70,3.153804,4.500000,-3.000000,4.842531e-03,6.949579e-03,-1.153504e-01,1.156609e-01
