# Tensiones en elementos (en kPa)
# elem,sxx,syy,szz,sxy,syz,szx,von_mises
1,-1.006505e+01,-1.199762e+01,-5.479770e+01,1.882125e+00,1.778152e+00,1.409479e+00,4.409499e+01
2,-1.406848e-01,-1.642912e+00,-2.886538e+01,-2.019426e+00,-2.643339e-02,8.574378e-01,2.826050e+01
3,-9.461032e+00,-1.042235e+01,-5.015015e+01,1.825055e+00,1.816028e+00,-3.689379e-01,4.046860e+01
4,-1.240582e+01,-1.136963e+01,-3.011394e+01,-2.349284e-01,3.006202e+00,3.303823e+00,1.982481e+01
5,-1.874415e+00,-3.242727e+00,-3.753619e+01,-7.137736e-01,2.917770e+00,3.212276e+00,3.581707e+01
6,-1.042241e+01,-1.137081e+01,-6.000842e+01,6.887847e-01,2.367209e+00,6.988631e-01,4.931880e+01
7,1.257496e+00,1.070085e+00,-3.470627e+01,1.058069e-01,4.155339e+00,2.721127e+00,3.688814e+01
8,-1.160984e+01,-1.245409e+01,-6.128020e+01,5.632580e-02,2.899029e+00,2.796423e+00,4.974541e+01
9,2.244936e+00,-8.843744e-01,-3.704298e+01,7.849578e-01,1.990138e+00,3.095258e-01,3.800536e+01
10,-4.852688e+00,-1.852164e+00,-5.058873e+01,-1.653891e-01,4.714767e-01,1.714183e+00,4.740871e+01
11,-1.068398e+00,-2.336327e+00,-3.642455e+01,-9.128352e-01,3.871742e+00,2.529495e+00,3.568616e+01
12,-6.089703e+00,-1.013753e+00,-1.977938e+01,3.972149e-01,-1.155233e+00,2.630209e+00,1.754684e+01
13,-2.703001e+00,-6.987618e+00,-3.279463e+01,-2.593976e+00,2.329086e+00,4.730012e-01,2.884552e+01
14,-3.521633e+00,8.759646e-02,-4.550762e+01,-9.221715e-01,1.030917e+00,-2.845100e-01,4.397009e+01
15,1.497676e+00,-1.651311e+00,-2.525447e+01,-2.421171e+00,-1.059958e-01,-3.343629e-01,2.567697e+01
16,-3.798678e+00,-7.389140e+00,-3.371869e+01,-1.104640e+00,2.548135e+00,1.487576e+00,2.881753e+01
17,-1.262980e+01,-1.179888e+01,-3.062776e+01,-4.600567e-01,3.316265e+00,4.099711e+00,2.058209e+01
18,-9.354487e+00,-7.717909e+00,-5.931664e+01,-6.595642e-01,3.088718e+00,2.764803e+00,5.131784e+01
19,-2.677268e+00,-4.290040e+00,-2.747308e+01,-2.721113e-01,3.717628e-01,-8.704811e-01,2.409052e+01
20,-1.398046e+00,-4.138299e+00,-3.051132e+01,-1.863172e+00,1.284958e+00,6.049050e-01,2.813858e+01
21,-9.182673e+00,-9.233883e+00,-2.834693e+01,8.810419e-01,3.204631e+00,2.692092e+00,2.052242e+01
22,1.969218e+00,1.988635e+00,-1.592243e+01,-7.087082e-01,-1.405116e+00,-1.212872e+00,1.822915e+01
23,-3.671547e+00,-6.483553e+00,-3.941616e+01,-1.804585e+00,3.879362e+00,1.041571e+00,3.525965e+01
24,-6.407461e+00,-2.564115e+00,-2.320963e+01,-2.506284e+00,-1.640700e-01,5.574213e+00,2.176698e+01
25,7.547725e-01,2.069256e+00,-1.595230e+01,4.613060e-01,-9.092722e-01,2.452731e-01,1.749613e+01
26,-7.162326e-02,-2.456311e+00,-1.645554e+01,8.906606e-01,-2.131300e-01,-1.010254e+00,1.551215e+01
27,-1.194366e+00,-1.188045e-01,-3.800212e+01,-5.465816e-01,4.820312e+00,3.952027e+00,3.889748e+01
28,6.850933e+00,3.492208e+00,-1.296932e+01,-2.353153e+00,-6.506680e-01,-1.155791e+00,1.895897e+01
29,-9.242265e-01,-8.365219e-01,-3.507527e+01,-1.925383e+00,7.108151e-01,5.090634e-01,3.439057e+01
30,-1.047423e+01,-1.232671e+01,-5.853680e+01,-9.667202e-01,2.382169e+00,2.382484e+00,4.755275e+01
31,-2.078605e+00,-3.457269e+00,-3.202493e+01,-1.372009e+00,1.528204e+00,1.552143e+00,2.961888e+01
32,3.239361e+00,1.761354e+00,-1.379656e+01,-5.138646e-01,-1.438396e+00,-3.075166e-01,1.656836e+01
33,-8.333758e+00,-7.850219e+00,-5.451917e+01,-1.332747e+00,5.568146e+00,2.951647e+00,4.775077e+01
34,1.075606e+00,-3.476249e-01,-1.881357e+01,1.411545e-01,6.343041e-01,1.447885e-01,1.925169e+01
35,-2.230722e+00,-3.610517e+00,-3.211654e+01,-2.879783e+00,2.190609e+00,1.565440e+00,3.000762e+01
36,-9.904879e+00,-7.520250e+00,-2.804952e+01,6.869669e-01,3.264929e+00,2.735829e+00,2.083344e+01
37,-6.110238e+00,-9.289447e+00,-5.826134e+01,-6.087193e-01,1.711829e+00,1.258821e+00,5.078092e+01
38,-1.793724e+00,-4.385418e+00,-4.296577e+01,-3.546875e-01,4.463439e+00,2.285536e+00,4.087743e+01
39,-1.678159e+00,-3.078870e-01,-3.926726e+01,-5.253979e-01,3.843150e+00,3.455943e+00,3.933565e+01
40,-9.004711e+00,-6.843879e+00,-4.093517e+01,2.519789e+00,-1.919635e+00,3.180769e+00,3.396579e+01
41,-4.828058e+00,-1.060857e+01,-2.927413e+01,1.383400e-01,4.851636e+00,1.793187e-01,2.367452e+01
42,-1.306682e+00,-6.440683e+00,-3.304917e+01,8.202720e-01,3.365406e+00,1.536678e+00,3.023339e+01
43,-9.282783e+00,-1.139659e+01,-6.196662e+01,-8.755779e-01,2.390606e+00,3.139567e+00,5.213163e+01
44,1.121645e+00,1.368031e+00,-1.999499e+01,-6.990106e-01,-8.154684e-01,2.091240e+00,2.162768e+01
45,-6.484605e+00,-5.318310e+00,-4.633630e+01,-1.303919e+00,2.486115e+00,3.793891e+00,4.126525e+01
46,-7.926857e+00,-8.522248e+00,-5.054014e+01,-1.252616e+00,5.256958e+00,5.147884e+00,4.424919e+01
47,-1.714258e+00,-2.996226e+00,-2.556374e+01,-2.200675e-01,-6.656436e-01,-1.155493e+00,2.335266e+01
48,-4.220723e-01,4.553566e+00,-1.495471e+01,2.558024e-01,1.431839e+00,1.293609e+00,1.787822e+01
49,3.210379e-01,1.476597e+00,-2.077216e+01,-5.896224e-01,-2.989870e-01,-3.946531e-01,2.173502e+01
50,-1.006883e+01,-7.397188e+00,-2.679403e+01,1.302310e-01,1.339970e+00,3.207390e+00,1.917951e+01
51,-1.550143e-01,-2.382773e+00,-2.950298e+01,-1.838612e+00,3.916656e+00,1.200142e+00,2.934908e+01
52,-9.752240e+00,-1.087530e+01,-5.087229e+01,-3.721800e-01,4.461791e+00,3.194092e+00,4.167354e+01
53,-7.044451e-01,1.693458e-01,-2.295252e+01,-6.101729e-01,6.370178e-01,-1.274649e-01,2.275002e+01
54,1.284069e+00,3.032564e+00,-1.753320e+01,-9.113860e-01,-2.237489e-01,1.014656e+00,1.989420e+01
55,-3.426188e+00,-2.996028e+00,-2.976845e+01,4.328050e-01,-3.276490e+00,5.220554e+00,2.863497e+01
56,1.660794e+00,7.296438e-01,-3.530118e+01,-1.066932e+00,-1.244299e+00,2.328878e+00,3.683705e+01
57,1.460323e+00,1.490162e+00,-1.427877e+01,-1.840784e+00,-5.121358e-01,-1.775105e-01,1.610082e+01
58,1.639387e+00,3.187518e-01,-1.784163e+01,-9.095756e-02,-2.619009e-01,4.120572e-01,1.887503e+01
59,1.539449e-02,-1.882291e+00,-2.861396e+01,-6.000988e-01,5.734619e-01,3.355189e+00,2.836813e+01
60,1.543520e+00,-7.048953e-01,-1.961354e+01,8.357668e-01,3.007083e+00,-1.313762e-01,2.084182e+01
