X,Y,Z,Settlement_mm
0.0,0.0,0.6,8.271636970636408
0.25,0.0,0.6,8.2711813827353
0.5,0.0,0.6,8.269781389529266
0.75,0.0,0.6,8.267565331074543
1.0,0.0,0.6,8.264645339579063
1.25,0.0,0.6,8.261144067078522
1.5,0.0,0.6,8.257227919101645
2.0,0.0,0.6,8.249184804659775
2.5,0.0,0.6,6.461391373817921
3.0,0.0,0.6,5.144731846430628
3.5,0.0,0.6,4.22806753310161
4.0,0.0,0.6,3.5749831491829323
4.5,0.0,0.6,3.0896322960616875
5.0,0.0,0.6,2.72106200977675
5.5,0.0,0.6,2.4364765064509992
6.0,0.0,0.6,2.2153536341615583
6.5,0.0,0.6,2.044068043838482
7.0,0.0,0.6,1.9134373299171403
7.5,0.0,0.6,1.8171943535022954
8.0,0.0,0.6,1.7511128073180469
8.5,0.0,0.6,1.7124747773899174
9.0,0.0,0.6,1.6997587693013783
0.0,0.25,0.6,8.2711813827353
0.25,0.25,0.6,8.270709990120451
0.5,0.25,0.6,8.269313408588305
0.75,0.25,0.6,8.267098848530717
1.0,0.25,0.6,8.26417768116825
1.25,0.25,0.6,8.26067520004577
1.5,0.25,0.6,8.256755864228394
2.0,0.25,0.6,8.248682121732099
2.5,0.25,0.6,6.4566958413601165
3.0,0.25,0.6,5.137834115605265
3.5,0.25,0.6,4.22114929533525
4.0,0.25,0.6,3.569157081831649
4.5,0.25,0.6,3.0850772823810266
5.0,0.25,0.6,2.717568032643926
5.5,0.25,0.6,2.4337820184581456
6.0,0.25,0.6,2.2132447500954227
6.5,0.25,0.6,2.0423828494764424
7.0,0.25,0.6,1.9120547255111116
7.5,0.25,0.6,1.8160223342648618
8.0,0.25,0.6,1.7500790259732062
8.5,0.25,0.6,1.7115193670781597
9.0,0.25,0.6,1.6988287497220742
0.0,0.5,0.6,8.269781389529266
0.25,0.5,0.6,8.269313408588305
0.5,0.5,0.6,8.267919809165724
0.75,0.5,0.6,8.265705743437218
1.0,0.5,0.6,8.262781145861666
1.25,0.5,0.6,8.25927136398329
1.5,0.5,0.6,8.255340170097671
2.0,0.5,0.6,8.24721349959365
2.5,0.5,0.6,6.442166250293545
3.0,0.5,0.6,5.116582393987024
3.5,0.5,0.6,4.200070266331103
4.0,0.5,0.6,3.5516029299653957
4.5,0.5,0.6,3.0714322392447735
5.0,0.5,0.6,2.7071206967619443
5.5,0.5,0.6,2.4257299843405584
6.0,0.5,0.6,2.2069436080969775
6.5,0.5,0.6,2.0373472435448083
7.0,0.5,0.6,1.9079226587525173
7.5,0.5,0.6,1.8125190199901848
8.0,0.5,0.6,1.7469884649460588
8.5,0.5,0.6,1.7086628169338174
9.0,0.5,0.6,1.6960480170979824
0.0,0.75,0.6,8.267565331074543
0.25,0.75,0.6,8.267098848530717
0.5,0.75,0.6,8.26570574343722
0.75,0.75,0.6,8.263488613894172
1.0,0.75,0.6,8.260555379677278
1.25,0.75,0.6,8.257029067488096
1.5,0.75,0.6,8.25307072401831
2.0,0.75,0.6,8.244838845728264
2.5,0.75,0.6,6.416338630523639
3.0,0.75,0.6,5.079147741260038
