X,Y,Settlement_mm
0.0,0.0,9.22012979010231
0.25,0.0,9.219494607993663
0.5,0.0,9.218298862135308
0.75,0.0,9.21641821815227
1.0,0.0,9.213966152471631
1.25,0.0,9.21107125727609
1.5,0.0,9.207905456157507
1.788920676621459,0.0,9.203820469344091
2.1356254885672064,0.0,7.5506307564030894
2.5516712629021,0.0,6.200456124472987
3.0509261921039674,0.0,4.962383972707655
3.650032107146203,0.0,3.949148640393957
4.368959205196878,0.0,3.1464840058666987
5.231671722857682,0.0,2.5270113238152576
6.266926744050636,0.0,2.069091919132214
7.50923276948217,0.0,1.769458334602503
8.999999999999998,0.0,1.6544372015671576
0.0,0.25,9.219494607993663
0.25,0.25,9.218992902689612
0.5,0.25,9.217784187755997
0.75,0.25,9.21590184032427
1.0,0.25,9.213443424218523
1.25,0.25,9.210541108832087
1.5,0.25,9.207353766262656
1.788920676621459,0.25,9.203390574777666
2.1356254885672064,0.25,7.544361095285446
2.5516712629021,0.25,6.191079618366016
3.0509261921039674,0.25,4.95239690869439
3.650032107146203,0.25,3.9411170916176275
4.368959205196878,0.25,3.141180157949713
5.231671722857682,0.25,2.5238350217658394
6.266926744050636,0.25,2.0672417429000154
7.50923276948217,0.25,1.7683257534544021
8.999999999999998,0.25,1.653547151284068
0.0,0.5,9.218298862135308
0.25,0.5,9.217784187755996
0.5,0.5,9.216579735144599
0.75,0.5,9.214685780114129
1.0,0.5,9.212209018803263
1.25,0.5,9.209279148414707
1.5,0.5,9.206062605868622
1.788920676621459,0.5,9.202031265816993
2.1356254885672064,0.5,7.524690676325509
2.5516712629021,0.5,6.161834104946597
3.0509261921039674,0.5,4.921780647647534
3.650032107146203,0.5,3.9169436050387256
4.368959205196878,0.5,3.1253413901258567
5.231671722857682,0.5,2.5143534701504753
6.266926744050636,0.5,2.0617155119213035
7.50923276948217,0.5,1.7649403520068898
8.999999999999998,0.5,1.6508856632201623
0.0,0.75,9.21641821815227
0.25,0.75,9.21590184032427
0.5,0.75,9.214685780114129
0.75,0.75,9.21277161351135
1.0,0.75,9.21026196330912
1.25,0.75,9.207285513740313
1.5,0.75,9.204003707542293
1.788920676621459,0.75,9.199868093365057
2.1356254885672064,0.75,7.4885317013465675
2.5516712629021,0.75,6.108994332152334
3.0509261921039674,0.75,4.868601658724261
3.650032107146203,0.75,3.876477968679933
4.368959205196878,0.75,3.099187639545011
5.231671722857682,0.75,2.4987078709845507
6.266926744050636,0.75,2.052585739890805
7.50923276948217,0.75,1.7593388460681703
8.999999999999998,0.75,1.6464786005373206
0.0,1.0,9.213966152471631
0.25,1.0,9.213443424218523
0.5,1.0,9.212209018803263
0.75,1.0,9.21026196330912
1.0,1.0,9.207702948590523
1.25,1.0,9.204657670856184
1.5,1.0,9.201282887727425
1.788920676621459,1.0,9.1969982761482
2.1356254885672064,1.0,7.428834636288059
2.5516712629021,1.0,6.024960928171231
3.0509261921039674,1.0,4.789937823627609
3.650032107146203,1.0,3.8197340226367626
4.368959205196878,1.0,3.063083312055928
5.231671722857682,1.0,2.477133303856116
6.266926744050636,1.0,2.0399712417968794
7.50923276948217,1.0,1.7515816404807443
8.999999999999998,1.0,1.640368545023476
0.0,1.25,9.21107125727609
0.25,1.25,9.210541108832087
0.5,1.25,9.209279148414707
0.75,1.25,9.207285513740313
1.0,1.25,9.204657670856184
1.25,1.25,9.201518304717217
1.5,1.25,9.198024584185669
1.788920676621459,1.25,9.193545049260385
2.1356254885672064,1.25,7.329187904318579
2.5516712629021,1.25,5.896301287016506
3.0509261921039674,1.25,4.6830495712681195
3.650032107146203,1.25,3.7471029234320046
4.368959205196878,1.25,3.0175372417194732
5.231671722857682,1.25,2.4499551231441474
6.266926744050636,1.25,2.0240319884103806
7.50923276948217,1.25,1.7417507424936247
8.999999999999998,1.25,1.6326130640329737
0.0,1.5,9.207905456157507
0.25,1.5,9.207353766262656
0.5,1.5,9.206062605868622
0.75,1.5,9.204003707542293
1.0,1.5,9.201282887727425
1.25,1.5,9.198024584185667
1.5,1.5,9.194363894669442
1.788920676621459,1.5,9.189686129345137
2.1356254885672064,1.5,7.149972181473936
2.5516712629021,1.5,5.703632292891153
3.0509261921039674,1.5,4.548214189990424
3.650032107146203,1.5,3.659135702934398
4.368959205196878,1.5,2.9633113696572626
5.231671722857682,1.5,2.417561478525129
6.266926744050636,1.5,2.004970783150178
7.50923276948217,1.5,1.7299469632645854
8.999999999999998,1.5,1.623284412705965
0.0,1.788920676621459,9.203820469344091
0.25,1.788920676621459,9.203390574777666
0.5,1.788920676621459,9.202031265816993
0.75,1.788920676621459,9.199868093365057
1.0,1.788920676621459,9.1969982761482
1.25,1.788920676621459,9.193545049260385
1.5,1.788920676621459,9.189686129345137
1.788920676621459,1.788920676621459,9.184402431201391
2.1356254885672064,1.788920676621459,6.658371646578209
2.5516712629021,1.788920676621459,5.4141665709984546
3.0509261921039674,1.788920676621459,4.356370268011168
3.650032107146203,1.788920676621459,3.5411787573887876
4.368959205196878,1.788920676621459,2.890926573594245
5.231671722857682,1.788920676621459,2.3743351400598915
6.266926744050636,1.788920676621459,1.9793779181777864
7.50923276948217,1.788920676621459,1.7140210454832217
8.999999999999998,1.788920676621459,1.6106647038932258
0.0,2.1356254885672064,7.5506307564030894
0.25,2.1356254885672064,7.544361095285446
0.5,2.1356254885672064,7.524690676325509
0.75,2.1356254885672064,7.488531701346567
1.0,2.1356254885672064,7.42883463628806
1.25,2.1356254885672064,7.329187904318578
1.5,2.1356254885672064,7.149972181473936
1.788920676621459,2.1356254885672064,6.658371646578209
2.1356254885672064,2.1356254885672064,5.973442497659883
2.5516712629021,2.1356254885672064,4.951631154739114
3.0509261921039674,2.1356254885672064,4.094099799951167
3.650032107146203,2.1356254885672064,3.379644280942807
4.368959205196878,2.1356254885672064,2.793059525875218
5.231671722857682,2.1356254885672064,2.315390206713255
6.266926744050636,2.1356254885672064,1.944235741271355
7.50923276948217,2.1356254885672064,1.6919821912100843
8.999999999999998,2.1356254885672064,1.593143914654702
