X,Y,Settlement_mm
0.0,0.0,27.697728
1.0,0.0,18.212077
2.0,0.0,7.145017
3.0,0.0,4.63817
4.0,0.0,3.219825
5.0,0.0,2.410184
6.0,0.0,1.87754
7.0,0.0,1.506051
8.0,0.0,1.234177
9.0,0.0,1.028279
10.0,0.0,0.86759
11.0,0.0,0.738148
12.0,0.0,0.629595
13.0,0.0,0.533458
14.0,0.0,0.442361
15.0,0.0,0.35096
0.0,1.0,18.212077
1.0,1.0,13.21255
2.0,1.0,6.708305
3.0,1.0,4.394648
4.0,1.0,3.12099
5.0,1.0,2.354927
6.0,1.0,1.845127
7.0,1.0,1.485333
8.0,1.0,1.220228
9.0,1.0,1.018434
10.0,1.0,0.860357
11.0,1.0,0.732638
12.0,1.0,0.625269
13.0,1.0,0.530001
14.0,1.0,0.439616
15.0,1.0,0.348886
0.0,2.0,7.145017
1.0,2.0,6.708305
2.0,2.0,5.328633
3.0,2.0,3.807297
4.0,2.0,2.846543
5.0,2.0,2.202677
6.0,2.0,1.75343
7.0,2.0,1.426152
8.0,2.0,1.18
9.0,2.0,0.989859
10.0,2.0,0.839252
11.0,2.0,0.716494
12.0,2.0,0.612555
13.0,2.0,0.519815
14.0,2.0,0.431514
15.0,2.0,0.342754
0.0,3.0,4.63817
1.0,3.0,4.394648
2.0,3.0,3.807297
3.0,3.0,3.1061
4.0,3.0,2.471792
5.0,3.0,1.985671
6.0,3.0,1.617726
7.0,3.0,1.336498
8.0,3.0,1.117979
9.0,3.0,0.945221
10.0,3.0,0.805947
11.0,3.0,0.690817
12.0,3.0,0.592211
13.0,3.0,0.503442
14.0,3.0,0.418441
15.0,3.0,0.332815
0.0,4.0,3.219825
1.0,4.0,3.12099
2.0,4.0,2.846543
3.0,4.0,2.471792
4.0,4.0,2.085983
5.0,4.0,1.742448
6.0,4.0,1.457947
7.0,4.0,1.227191
8.0,4.0,1.040452
9.0,4.0,0.88836
10.0,4.0,0.762899
11.0,4.0,0.657247
12.0,4.0,0.565377
13.0,4.0,0.481699
14.0,4.0,0.400982
15.0,4.0,0.319456
0.0,5.0,2.410184
1.0,5.0,2.354927
2.0,5.0,2.202677
3.0,5.0,1.985671
4.0,5.0,1.742448
5.0,5.0,1.505462
6.0,5.0,1.292544
7.0,5.0,1.109211
8.0,5.0,0.954159
9.0,5.0,0.823566
10.0,5.0,0.712936
11.0,5.0,0.617717
12.0,5.0,0.53342
13.0,5.0,0.455577
14.0,5.0,0.37985
15.0,5.0,0.303143
0.0,6.0,1.87754
1.0,6.0,1.845127
2.0,6.0,1.75343
3.0,6.0,1.617726
4.0,6.0,1.457947
5.0,6.0,1.292544
6.0,6.0,1.134729
7.0,6.0,0.991502
8.0,6.0,0.865093
9.0,6.0,0.754894
10.0,6.0,0.658853
11.0,6.0,0.574199
12.0,6.0,0.497764
13.0,6.0,0.426116
14.0,6.0,0.355793
15.0,6.0,0.284365
0.0,7.0,1.506051
1.0,7.0,1.485333
2.0,7.0,1.426152
3.0,7.0,1.336498
4.0,7.0,1.227191
5.0,7.0,1.109211
6.0,7.0,0.991502
7.0,7.0,0.880006
8.0,7.0,0.777774
9.0,7.0,0.685662
10.0,7.0,0.603069
11.0,7.0,0.528468
12.0,7.0,0.459724
13.0,7.0,0.394293
14.0,7.0,0.329508
15.0,7.0,0.263567
0.0,8.0,1.234177
1.0,8.0,1.220228
2.0,8.0,1.18
3.0,8.0,1.117979
4.0,8.0,1.040452
5.0,8.0,0.954159
6.0,8.0,0.865093
7.0,8.0,0.777774
8.0,8.0,0.695037
9.0,8.0,0.618209
10.0,8.0,0.547426
11.0,8.0,0.481944
12.0,8.0,0.420382
13.0,8.0,0.360913
14.0,8.0,0.301564
15.0,8.0,0.241086
0.0,9.0,1.028279
1.0,9.0,1.018434
2.0,9.0,0.989859
3.0,9.0,0.945221
4.0,9.0,0.88836
5.0,9.0,0.823566
6.0,9.0,0.754894
7.0,9.0,0.685662
